id,dataset,tool1,tool2,read,unique,total,percent_unique,group,subgroup,percent_compression,percent_sampled,total_reads,q,p,label
195,miseq,pass,pass,R1,552706,772263,71.57,pass_motif_5,permutation,28.43,92.46,835261,5,50,q5_p50
196,miseq,pass,fail,R1,60145,62998,95.47,pass_no_motif_5,permutation,4.53,7.54,835261,5,50,q5_p50
197,miseq,fail,pass,R1,0,0,0.00,fail_motif_5,permutation,0.00,0.00,835261,5,50,q5_p50
198,miseq,fail,fail,R1,0,0,0.00,fail_no_motif_5,permutation,0.00,0.00,835261,5,50,q5_p50
199,miseq,pass,,R1,612851,835261,73.37,pass_10,permutation,26.63,100.00,835261,10,50,q10_p50
200,miseq,fail,,R1,0,0,0.00,fail_10,permutation,0.00,0.00,835261,10,50,q10_p50
201,miseq,pass,pass,R1,552706,772263,71.57,pass_motif_10,permutation,28.43,92.46,835261,10,50,q10_p50
202,miseq,pass,fail,R1,60145,62998,95.47,pass_no_motif_10,permutation,4.53,7.54,835261,10,50,q10_p50
203,miseq,fail,pass,R1,0,0,0.00,fail_motif_10,permutation,0.00,0.00,835261,10,50,q10_p50
204,miseq,fail,fail,R1,0,0,0.00,fail_no_motif_10,permutation,0.00,0.00,835261,10,50,q10_p50
205,miseq,pass,,R1,612626,835036,73.37,pass_15,permutation,26.63,99.97,835261,15,50,q15_p50
206,miseq,fail,,R1,225,225,100.00,fail_15,permutation,0.00,0.03,835261,15,50,q15_p50
207,miseq,pass,pass,R1,552512,772069,71.56,pass_motif_15,permutation,28.44,92.43,835261,15,50,q15_p50
208,miseq,pass,fail,R1,60114,62967,95.47,pass_no_motif_15,permutation,4.53,7.54,835261,15,50,q15_p50
209,miseq,fail,pass,R1,194,194,100.00,fail_motif_15,permutation,0.00,0.02,835261,15,50,q15_p50
210,miseq,fail,fail,R1,31,31,100.00,fail_no_motif_15,permutation,0.00,0.00,835261,15,50,q15_p50
211,miseq,pass,,R1,609790,832198,73.27,pass_20,permutation,26.73,99.63,835261,20,50,q20_p50
212,miseq,fail,,R1,3063,3063,100.00,fail_20,permutation,0.00,0.37,835261,20,50,q20_p50
213,miseq,pass,pass,R1,549962,769517,71.47,pass_motif_20,permutation,28.53,92.13,835261,20,50,q20_p50
214,miseq,pass,fail,R1,59828,62681,95.45,pass_no_motif_20,permutation,4.55,7.50,835261,20,50,q20_p50
215,miseq,fail,pass,R1,2746,2746,100.00,fail_motif_20,permutation,0.00,0.33,835261,20,50,q20_p50
216,miseq,fail,fail,R1,317,317,100.00,fail_no_motif_20,permutation,0.00,0.04,835261,20,50,q20_p50
217,miseq,pass,,R1,608018,830425,73.22,pass_25,permutation,26.78,99.42,835261,25,50,q25_p50
218,miseq,fail,,R1,4836,4836,100.00,fail_25,permutation,0.00,0.58,835261,25,50,q25_p50
219,miseq,pass,pass,R1,548357,767911,71.41,pass_motif_25,permutation,28.59,91.94,835261,25,50,q25_p50
220,miseq,pass,fail,R1,59661,62514,95.44,pass_no_motif_25,permutation,4.56,7.48,835261,25,50,q25_p50
221,miseq,fail,pass,R1,4352,4352,100.00,fail_motif_25,permutation,0.00,0.52,835261,25,50,q25_p50
222,miseq,fail,fail,R1,484,484,100.00,fail_no_motif_25,permutation,0.00,0.06,835261,25,50,q25_p50
223,miseq,pass,,R1,601471,823819,73.01,pass_30,permutation,26.99,98.63,835261,30,50,q30_p50
224,miseq,fail,,R1,11442,11442,100.00,fail_30,permutation,0.00,1.37,835261,30,50,q30_p50
225,miseq,pass,pass,R1,542456,761953,71.19,pass_motif_30,permutation,28.81,91.22,835261,30,50,q30_p50
226,miseq,pass,fail,R1,59015,61866,95.39,pass_no_motif_30,permutation,4.61,7.41,835261,30,50,q30_p50
227,miseq,fail,pass,R1,10310,10310,100.00,fail_motif_30,permutation,0.00,1.23,835261,30,50,q30_p50
