id,dataset,tool1,tool2,read,unique,total,percent_unique,old_group,group,subgroup,label,percent_compression,percent_sampled,total_reads,percent_unique_sample1,percent_unique_sample2,percent_unique_sample3,sample_mean,sample_sd,change_percent_compression,rm_motif_unique,rm_motif_percent_compression,
472,hiseq250(rapid_run),pass,fail,R2,1516462,1670976,90.75,pass_no_motif,pass q30 fail motif,q30p90_krill_rotifer,,9.25,1,122317249,1370072,1370222,1370893,1370395.66666667,356.959692713648,-8.74137829228746,,,
473,hiseq250(rapid_run),fail,pass,R2,46970504,54091681,86.83,fail_motif,fail q30 pass motif,q30p90_krill_rotifer,,13.17,44,122317249,34431761,34435033,34436865,34434553,2111.16144969225,-23.17537700483,,,
474,hiseq250(rapid_run),fail,fail,R2,4137455,4173046,99.15,fail_no_motif,fail q30 fail motif,q30p90_krill_rotifer,,0.85,3,122317249,3189232,3188432,3186855,3188173,987.536665985961,-22.7479399939517,,,
475,hiseq250(rapid_run),pass,,R2,562919,1638418,34.36,pass,pass q30,q30p100_krill,p100,65.64,1,122317249,1345535,1346631,1345728,1345964.66666667,477.711442423376,47.7927895486174,,,
476,hiseq250(rapid_run),fail,,R2,73822758,120678831,61.17,fail,fail q30,q30p100_krill,p100,38.83,99,122317249,73004312,73004447,73002704,73003821,791.758801656161,-0.678608661696433,,,
477,hiseq250(rapid_run),pass,pass,R2,554668,1629648,34.04,pass_motif,pass q30 pass motif,q30p100_krill_rotifer,,65.96,1,122317249,1339217,1339454,1339256,1339309,103.759336929261,48.1478822420547,,,
478,hiseq250(rapid_run),pass,fail,R2,8251,8770,94.08,pass_no_motif,pass q30 fail motif,q30p100_krill_rotifer,,5.92,0,122317249,8563,8498,8545,8535.33333333333,27.4023518860861,3.24211326491829,,,
479,hiseq250(rapid_run),fail,pass,R2,68210725,114843579,59.39,fail_motif,fail q30 pass motif,q30p100_krill_rotifer,,40.61,94,122317249,69691211,69692116,69691053,69691460,468.325385460437,1.28934940280815,,,
480,hiseq250(rapid_run),fail,fail,R2,5612033,5835252,96.17,fail_no_motif,fail q30 fail motif,q30p100_krill_rotifer,,3.83,5,122317249,4343246,4342695,4342961,4342967.33333333,224.989382465534,-21.7482581157877,,,
481,hiseq125(high_output),subsampling,,R1,2064877,7823601,26.39,subsampling,subsampling,1,,73.61,5,156472029,,,,,,,,,
482,hiseq125(high_output),subsampling,,R1,2065304,7823601,26.40,subsampling,subsampling,2,,73.60,5,156472029,,,,,,,,,
483,hiseq125(high_output),subsampling,,R1,2065989,7823601,26.41,subsampling,subsampling,3,,73.59,5,156472029,,,,,,,,,
484,hiseq125(high_output),subsampling,,R1,3549771,15647202,22.69,subsampling,subsampling,1,,77.31,10,156472029,,,,,,,,,
485,hiseq125(high_output),subsampling,,R1,3551472,15647202,22.70,subsampling,subsampling,2,,77.30,10,156472029,,,,,,,,,
